political,Bernie Sanders,0.999997,Bernie 2020.
political,Mike Johnston,0.999967,Mike Johnston for Senate
political,Jay Inslee,0.999768,INSLEE FOR AMERICA
political,Bird + Stone,0.983039,Bird + Stone 
political,Washington Environmental Council,0.994327,Washington Environmental Council
political,Planned Parenthood Action,0.999998,Planned Parenthood Action Fund.
political,Pete Buttigieg,0.995708,Pete for America
political,Haven of Rest Ministries AkronOH,0.922417,Haven of Rest
political,Planned Parenthood,0.999989,Planned Parenthood Federation of America
political,International Rescue Committee,0.903121,International Rescue Committee
political,Everytown for Gun Safety,0.999998,Everytown for Gun Safety Action Fund
political,Patients For Affordable Drugs NOW,0.999917,Patients for Affordable Drugs NOW
political,Cory Booker,1.000000,Cory 2020
political,Better Together STL,0.954591,Better Together STL
political,Planned Parenthood Vermont Action Fund,0.999876,Planned Parenthood Vermont Action Fund
political,Jay Inslee,0.998043,INSLEE FOR AMERICA
political,The Humane Society of the United States,0.974383,The Humane Society of the United States
political,Mercy Corps,0.990317,Mercy Corps
political,Progressive Turnout Project,0.999995,Progressive Turnout Project
political,Green Business Bureau,0.798296,Green Business Bureau
political,United We Dream,0.999501,United We Dream Action
political,The Brookings Institution,0.960021,The Brookings Institution
political,USA for UNHCR,0.937288,USA for UNHCR
political,Bluebikes,0.885086,Bluebikes
political,ACLU,0.999483,the ACLU
political,AIDS United,0.994361,AIDS United Inc.
political,Planned Parenthood Action,0.999999,Planned Parenthood Action Fund.
political,FWD.us,0.999915,FWD.us
political,Planned Parenthood Action,0.999988,Planned Parenthood Action Fund.
political,Jon Hoadley,0.999865,Jon Hoadley for Congress
political,Patients For Affordable Drugs NOW,0.999917,Patients for Affordable Drugs NOW
political,Indivisible Guide,0.999997,Indivisible Project
political,AFSCME,0.997080,American Federation of State County and Municipal Employees
political,Swing Left,1.000000,Swing Left. Not authorized by any candidate or candidate's committee.
political,National Democratic Training Committee,0.999981,the National Democratic Training Committee
political,NARAL Pro-Choice America,0.999999,NARAL Pro-Choice America
political,Planned Parenthood,0.999985,Planned Parenthood Federation of America
political,Center for Policing Equity,0.929550,Center for Policing Equity
political,Jon Hoadley,0.999865,Jon Hoadley for Congress
political,Tim Ryan,0.999898,Tim Ryan for America Inc
political,LIFE Today,0.872776,LIFE Outreach International 
political,Marianne Williamson,0.999308,MARIANNE WILLIAMSON FOR PRESIDENT
political,Jon Hoadley,0.999833,Jon Hoadley for Congress
political,Phone2Action,0.960262,Phone2Action
political,Elizabeth Warren,0.999983,Warren for President
political,Planned Parenthood,0.999996,Planned Parenthood Federation of America
political,ACLU,0.999956,the ACLU
political,Sierra Club,0.999906,Sierra Club
political,Ron Wyden,0.999931,Wyden for Senate.
political,Seth Moulton,0.999976,Seth Moulton for Congress
political,Hoover Institution,0.992214,Hoover Institution
political,Marianne Williamson,0.997753,MARIANNE WILLIAMSON FOR PRESIDENT
political,Jon Hoadley,0.997973,Jon Hoadley for Congress
political,Planned Parenthood,0.999976,Planned Parenthood Federation of America
political,Tim Ryan,0.997752,Tim Ryan for America Inc
political,Patients For Affordable Drugs NOW,0.999917,Patients for Affordable Drugs NOW
political,Donald J. Trump,0.999977,Donald J. Trump for President Inc.
political,League of Conservation Voters,0.999916,League of Conservation Voters
political,Everytown for Gun Safety,0.999998,Everytown for Gun Safety Action Fund
political,Jon Hoadley,0.999780,Jon Hoadley for Congress
political,Better Together STL,0.954591,Better Together STL
political,Marianne Williamson,0.992115,MARIANNE WILLIAMSON FOR PRESIDENT
political,Amy Klobuchar,0.999998,Amy for America
political,Elizabeth Warren,0.999833,Warren for President
political,The Humane Society of the United States,0.973086,The Humane Society of the United States
political,AIDS United,0.997196,AIDS United Inc.
political,Planned Parenthood,0.999984,Planned Parenthood Federation of America
political,Center for Biological Diversity,0.997604,Center for Biological Diversity
political,Lucy McBath for Congress,0.999950,Friends of Lucy McBath
political,Swing Left,1.000000,Swing Left. Not authorized by any candidate or candidate's committee.
political,Marianne Williamson,0.986749,MARIANNE WILLIAMSON FOR PRESIDENT
political,Planned Parenthood Action,1.000000,Planned Parenthood Action Fund.
political,Better Together STL,0.932582,Better Together STL
